date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:50:44	233102/233102	---M--	200	added ('OK')	image/jpeg	etag:%2238e8e-57fbbfbdd87fe%22	https://dreamguys.co.in/smarthr/assets/img/screen5.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen5.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:44	192580/192580	---M--	200	added ('OK')	image/jpeg	etag:%222f044-57fbbfc2eb77a%22	https://dreamguys.co.in/smarthr/assets/img/screen8.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen8.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:45	186756/186756	---M--	200	added ('OK')	image/jpeg	etag:%222d984-57fbbfaf785eb%22	https://dreamguys.co.in/smarthr/assets/img/screen11.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen11.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:45	289386/289386	---M--	200	added ('OK')	image/jpeg	etag:%2246a6a-57fbbfc4b0cca%22	https://dreamguys.co.in/smarthr/assets/img/screen9.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen9.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:46	155151/155151	---M--	200	added ('OK')	image/jpeg	etag:%2225e0f-57fbbfb2beae2%22	https://dreamguys.co.in/smarthr/assets/img/screen13.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen13.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:46	391771/391771	---M--	200	added ('OK')	image/jpeg	etag:%225fa5b-57fbbfadd3bc0%22	https://dreamguys.co.in/smarthr/assets/img/screen10.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen10.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:47	242192/242192	---M--	200	added ('OK')	image/jpeg	etag:%223b210-57fbbfb83925f%22	https://dreamguys.co.in/smarthr/assets/img/screen2.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen2.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:47	220580/220580	---M--	200	added ('OK')	image/jpeg	etag:%2235da4-57fbbfb63fd14%22	https://dreamguys.co.in/smarthr/assets/img/screen15.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen15.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:47	263812/263812	---M--	200	added ('OK')	image/jpeg	etag:%2240684-57fbbfb47de7d%22	https://dreamguys.co.in/smarthr/assets/img/screen14.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen14.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:47	9124/9124	---M--	200	added ('OK')	image/png	etag:%2223a4-57fbbfc88669a%22	https://dreamguys.co.in/smarthr/assets/img/themeforest.png	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/themeforest.png	(from https://dreamguys.co.in/smarthr/)
